Flight time,Location,Aircraft name,Task Type,Sprayed area,Total Amount(L/Kg),Flight duration(min:sec),Crop,Pliot Name,Team Name,Field Name,Serial Number,Starting Battery Level,Ending Battery Level,Battery SN,source_file
2024-02-13 07:15:43-07:20:46,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,9.67,12.99,5:03,other,UTPL,default team,,R0453775524,100,50,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 07:20:46-07:22:26,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.3,3.19,1:39,other,UTPL,default team,,R0493820618,50,36,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 07:22:26-07:23:34,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.62,4.95,1:07,other,UTPL,default team,,R0513843165,36,26,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 07:49:22-07:56:18,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.49,28.64,6:56,other,UTPL,default team,,R0714068635,100,33,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 06:46:19-06:51:53,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,13.56,18.45,5:34,other,UTPL,default team,,R0854226464,89,44,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 06:58:59-07:06:15,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,16.46,22.28,7:16,other,UTPL,default team,,R1014406840,95,36,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 16:40:19-16:44:30,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.89,10.68,4:11,other,UTPL,default team,,R1114519575,96,61,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 16:44:30-16:48:17,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,9.43,12.73,3:47,other,UTPL,default team,,R1154564669,61,35,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 16:50:46-16:54:33,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.87,10.64,3:47,other,UTPL,default team,,R1194609763,100,66,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 16:54:33-16:57:10,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,6.54,8.85,2:36,other,UTPL,default team,,R1254677404,66,47,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 16:57:10-16:59:44,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,4.09,5.23,2:33,other,UTPL,default team,,R1294722498,47,30,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:02:30-17:04:52,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.28,3.07,2:22,other,UTPL,default team,,R1374812686,100,70,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:04:52-17:06:55,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.59,4.94,2:02,other,UTPL,default team,,R1394835233,70,45,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:06:55-17:08:25,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.23,4.47,1:29,other,UTPL,default team,,R1414857780,45,29,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:08:25-17:10:37,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.72,3.78,2:11,other,UTPL,default team,,R1474925421,29,8,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:12:13-17:14:57,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.09,4.28,2:44,other,UTPL,default team,,R1494947968,100,74,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:14:57-17:15:50,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.6,2.26,0:52,other,UTPL,default team,,R1514970515,74,66,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:32:27-17:35:47,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,6.54,8.8,3:20,other,UTPL,default team,,R1615083250,100,64,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:35:47-17:38:01,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.62,10.3,2:13,other,UTPL,default team,,R1635105797,64,46,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
