latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.838313,125.14066,313.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),precipitation (mm)
2024-01-11T14:00,30.5,17.5,53,59,0.00
2024-01-11T15:00,30.2,16.9,56,59,0.00
2024-01-11T16:00,29.4,13.9,53,63,0.00
2024-01-11T17:00,28.4,12.3,52,67,0.00
2024-01-11T18:00,27.1,13.3,57,70,0.00
2024-01-11T19:00,26.2,13.0,56,75,0.00
2024-01-11T20:00,25.5,12.0,46,79,0.00
2024-01-11T21:00,25.5,12.3,50,77,0.00
2024-01-11T22:00,24.8,10.8,53,81,0.00
2024-01-11T23:00,24.4,8.9,50,83,0.00
2024-01-12T00:00,24.1,8.0,36,85,0.00
2024-01-12T01:00,23.4,8.8,35,90,0.00
2024-01-12T02:00,22.9,10.0,52,92,0.00
2024-01-12T03:00,22.7,10.8,53,92,0.00
2024-01-12T04:00,22.7,9.2,59,90,0.00
2024-01-12T05:00,22.4,6.9,47,92,0.00
2024-01-12T06:00,22.0,6.9,47,93,0.00
2024-01-12T07:00,23.6,10.1,35,87,0.00
2024-01-12T08:00,25.9,12.7,25,77,0.00
2024-01-12T09:00,26.9,15.9,38,70,0.00
2024-01-12T10:00,27.0,16.6,42,72,0.00
2024-01-12T11:00,28.9,20.4,41,66,0.00
2024-01-12T12:00,28.4,17.9,52,69,0.00
2024-01-12T13:00,29.2,18.2,56,66,0.00
2024-01-12T14:00,29.2,18.7,60,66,0.00
2024-01-12T15:00,28.7,16.8,59,70,0.00
2024-01-12T16:00,28.3,16.9,52,70,0.00
2024-01-12T17:00,27.3,14.8,49,74,0.00
2024-01-12T18:00,26.1,15.3,47,77,0.00
2024-01-12T19:00,25.6,15.3,43,79,0.00
2024-01-12T20:00,25.0,14.4,37,82,0.00
2024-01-12T21:00,25.2,12.8,38,82,0.00
2024-01-12T22:00,24.9,12.1,37,83,0.00
2024-01-12T23:00,24.4,10.6,35,85,0.00
2024-01-13T00:00,24.0,10.3,36,88,0.00
2024-01-13T01:00,23.5,10.5,38,91,0.00
2024-01-13T02:00,23.0,10.7,48,94,0.00
2024-01-13T03:00,22.7,9.9,57,95,0.00
2024-01-13T04:00,22.3,8.5,54,96,0.00
2024-01-13T05:00,21.8,8.4,59,97,0.00
2024-01-13T06:00,21.6,9.1,56,96,0.00
2024-01-13T07:00,23.7,10.7,48,89,0.00
2024-01-13T08:00,25.7,12.2,24,81,0.00
2024-01-13T09:00,26.5,15.1,33,77,0.00
2024-01-13T10:00,27.5,18.4,35,72,0.20
2024-01-13T11:00,27.8,18.6,43,73,0.10
2024-01-13T12:00,29.3,18.1,44,67,0.10
2024-01-13T13:00,29.3,20.1,44,68,0.30
2024-01-13T14:00,28.9,19.7,50,68,0.00
2024-01-13T15:00,28.9,18.2,52,67,0.00
2024-01-13T16:00,27.4,20.0,52,73,0.00
2024-01-13T17:00,26.5,17.1,48,78,0.00
2024-01-13T18:00,25.2,15.3,41,81,0.00
2024-01-13T19:00,24.7,15.5,36,83,0.00
2024-01-13T20:00,24.3,14.6,33,85,0.00
2024-01-13T21:00,24.7,12.0,39,83,0.00
2024-01-13T22:00,24.0,11.3,37,86,0.00
2024-01-13T23:00,23.2,8.7,52,90,0.00
2024-01-14T00:00,22.7,10.6,55,93,0.00
2024-01-14T01:00,22.6,10.8,60,93,0.00
2024-01-14T02:00,22.9,11.0,67,90,0.00
2024-01-14T03:00,23.6,9.7,51,85,0.00
2024-01-14T04:00,23.7,10.7,48,85,0.00
2024-01-14T05:00,23.9,10.7,42,85,0.10
2024-01-14T06:00,23.9,11.7,47,85,0.20
2024-01-14T07:00,24.5,13.3,38,85,0.20
2024-01-14T08:00,25.3,15.8,35,83,0.20
2024-01-14T09:00,26.5,19.1,41,78,0.00
2024-01-14T10:00,27.5,21.3,39,74,0.20
2024-01-14T11:00,28.0,22.5,49,71,0.30
2024-01-14T12:00,28.3,22.2,48,71,0.30
2024-01-14T13:00,28.0,24.2,53,71,0.10
2024-01-14T14:00,27.9,22.1,53,72,0.10
2024-01-14T15:00,28.0,19.9,45,70,0.00
2024-01-14T16:00,26.9,18.6,44,75,0.00
2024-01-14T17:00,26.1,16.8,42,77,0.00
2024-01-14T18:00,25.3,17.7,39,80,0.10
2024-01-14T19:00,24.8,16.0,36,83,0.00
2024-01-14T20:00,24.5,16.4,29,86,0.00
2024-01-14T21:00,24.6,14.7,36,84,0.00
2024-01-14T22:00,24.3,14.0,35,86,0.00
2024-01-14T23:00,24.2,14.2,36,86,0.00
2024-01-15T00:00,24.1,15.9,38,86,0.00
2024-01-15T01:00,24.1,15.8,43,85,0.00
2024-01-15T02:00,24.0,15.3,49,85,0.00
2024-01-15T03:00,24.0,16.3,45,85,0.00
2024-01-15T04:00,24.0,15.5,48,86,0.00
2024-01-15T05:00,24.1,15.5,48,86,0.00
2024-01-15T06:00,24.1,14.8,47,86,0.00
2024-01-15T07:00,25.0,16.9,40,83,0.00
2024-01-15T08:00,25.9,18.1,44,81,0.10
2024-01-15T09:00,27.4,22.9,42,73,0.20
2024-01-15T10:00,28.2,22.4,44,73,0.30
2024-01-15T11:00,28.4,23.4,47,73,0.60
2024-01-15T12:00,27.7,20.7,49,76,0.80
2024-01-15T13:00,28.6,22.4,45,69,0.40
2024-01-15T14:00,28.7,22.9,37,71,0.30
